epoch: 0, best_acc: 73.91826923076923, loss: 1.0350255966186523
epoch: 1, best_acc: 73.91826923076923, loss: 1.0604430437088013
epoch: 2, best_acc: 73.91826923076923, loss: 1.0451747179031372
epoch: 3, best_acc: 73.91826923076923, loss: 1.275736689567566
epoch: 4, best_acc: 73.91826923076923, loss: 1.3569390773773193
epoch: 5, best_acc: 73.91826923076923, loss: 1.5392885208129883
epoch: 6, best_acc: 73.91826923076923, loss: 1.3665413856506348
epoch: 7, best_acc: 73.91826923076923, loss: 1.4222904443740845
epoch: 8, best_acc: 73.91826923076923, loss: 1.5670126676559448
epoch: 9, best_acc: 73.91826923076923, loss: 1.431038737297058
epoch: 10, best_acc: 73.91826923076923, loss: 1.4292341470718384
epoch: 11, best_acc: 73.91826923076923, loss: 1.3833305835723877
epoch: 12, best_acc: 73.91826923076923, loss: 1.3587532043457031
epoch: 13, best_acc: 73.91826923076923, loss: 1.081223964691162
epoch: 14, best_acc: 73.91826923076923, loss: 1.2605969905853271
epoch: 15, best_acc: 73.91826923076923, loss: 1.2839161157608032
epoch: 16, best_acc: 73.91826923076923, loss: 1.2293672561645508
epoch: 17, best_acc: 73.91826923076923, loss: 1.1322022676467896
epoch: 18, best_acc: 73.91826923076923, loss: 1.0430526733398438
epoch: 19, best_acc: 73.91826923076923, loss: 1.197989583015442
epoch: 20, best_acc: 73.91826923076923, loss: 1.2464464902877808
epoch: 21, best_acc: 73.91826923076923, loss: 1.159326195716858
epoch: 22, best_acc: 73.91826923076923, loss: 1.1315114498138428
epoch: 23, best_acc: 73.91826923076923, loss: 1.2374980449676514
epoch: 24, best_acc: 73.91826923076923, loss: 1.101982831954956
epoch: 25, best_acc: 73.91826923076923, loss: 1.4104593992233276
epoch: 26, best_acc: 73.91826923076923, loss: 1.2134771347045898
epoch: 27, best_acc: 73.91826923076923, loss: 1.208222508430481
epoch: 28, best_acc: 73.91826923076923, loss: 1.1803500652313232
epoch: 29, best_acc: 73.91826923076923, loss: 1.228072166442871
epoch: 30, best_acc: 73.91826923076923, loss: 1.2923429012298584
epoch: 31, best_acc: 73.91826923076923, loss: 1.283092975616455
epoch: 32, best_acc: 73.91826923076923, loss: 1.1537766456604004
epoch: 33, best_acc: 73.91826923076923, loss: 1.2236891984939575
epoch: 34, best_acc: 73.91826923076923, loss: 1.1402827501296997
epoch: 35, best_acc: 73.91826923076923, loss: 1.143322229385376
epoch: 36, best_acc: 73.91826923076923, loss: 1.194631576538086
epoch: 37, best_acc: 73.91826923076923, loss: 1.2571909427642822
epoch: 38, best_acc: 73.91826923076923, loss: 1.1538845300674438
epoch: 39, best_acc: 73.91826923076923, loss: 1.2099612951278687
epoch: 40, best_acc: 73.91826923076923, loss: 1.390560507774353
epoch: 41, best_acc: 73.91826923076923, loss: 1.1825275421142578
epoch: 42, best_acc: 73.91826923076923, loss: 1.1239750385284424
epoch: 43, best_acc: 73.91826923076923, loss: 1.0329183340072632
epoch: 44, best_acc: 73.91826923076923, loss: 1.1568496227264404
epoch: 45, best_acc: 73.91826923076923, loss: 1.167125940322876
epoch: 46, best_acc: 73.91826923076923, loss: 1.1575236320495605
epoch: 47, best_acc: 73.91826923076923, loss: 1.1986360549926758
epoch: 48, best_acc: 73.91826923076923, loss: 1.07779860496521
epoch: 49, best_acc: 73.91826923076923, loss: 1.2908695936203003
epoch: 50, best_acc: 73.91826923076923, loss: 1.15731680393219
epoch: 51, best_acc: 73.91826923076923, loss: 1.285737156867981
epoch: 52, best_acc: 73.91826923076923, loss: 1.0915858745574951
