epoch: 0, best_acc: 5.959999999237061, loss: 4.884364128112793
epoch: 1, best_acc: 18.280000009155273, loss: 4.143370151519775
epoch: 2, best_acc: 34.56000004882812, loss: 2.2297475337982178
epoch: 3, best_acc: 38.040000091552734, loss: 1.569761037826538
epoch: 4, best_acc: 44.600000079345705, loss: 2.0123913288116455
epoch: 5, best_acc: 50.959999963378905, loss: 1.8890854120254517
epoch: 6, best_acc: 54.79999967041016, loss: 1.3102198839187622
epoch: 7, best_acc: 54.79999967041016, loss: 1.0977377891540527
epoch: 8, best_acc: 56.239999896240235, loss: 1.4978091716766357
epoch: 9, best_acc: 59.87999967041016, loss: 1.2788076400756836
epoch: 10, best_acc: 64.80000002441406, loss: 1.2892827987670898
epoch: 11, best_acc: 67.92000003662109, loss: 0.9249643087387085
epoch: 12, best_acc: 67.92000003662109, loss: 0.9478680491447449
epoch: 13, best_acc: 68.96000014648438, loss: 0.7015500664710999
epoch: 14, best_acc: 70.00000004882813, loss: 0.6404600143432617
epoch: 15, best_acc: 70.00000004882813, loss: 0.6600890159606934
epoch: 16, best_acc: 72.32000004882812, loss: 0.5587393641471863
epoch: 17, best_acc: 72.32000004882812, loss: 0.7154920697212219
epoch: 18, best_acc: 73.5600000732422, loss: 0.7173886895179749
epoch: 19, best_acc: 74.47999973144532, loss: 0.5294715166091919
epoch: 20, best_acc: 74.47999973144532, loss: 0.566795289516449
epoch: 21, best_acc: 74.47999973144532, loss: 0.7144835591316223
epoch: 22, best_acc: 74.47999973144532, loss: 0.6660318374633789
epoch: 23, best_acc: 74.47999973144532, loss: 0.7055181264877319
epoch: 24, best_acc: 74.47999973144532, loss: 0.5974439978599548
epoch: 25, best_acc: 75.27999997558594, loss: 0.5574848651885986
epoch: 26, best_acc: 75.6799998413086, loss: 0.4619167745113373
epoch: 27, best_acc: 75.6799998413086, loss: 0.6004696488380432
epoch: 28, best_acc: 75.6799998413086, loss: 0.44184502959251404
epoch: 29, best_acc: 75.6799998413086, loss: 0.4421912729740143
epoch: 30, best_acc: 76.1999997680664, loss: 0.5624401569366455
epoch: 31, best_acc: 77.4799998046875, loss: 0.5099774599075317
epoch: 32, best_acc: 77.4799998046875, loss: 0.46063169836997986
epoch: 33, best_acc: 78.0399998046875, loss: 0.5360248684883118
epoch: 34, best_acc: 78.0399998046875, loss: 0.4104102849960327
epoch: 35, best_acc: 78.08000012207032, loss: 0.4717060923576355
epoch: 36, best_acc: 78.08000012207032, loss: 0.6884605884552002
epoch: 37, best_acc: 78.08000012207032, loss: 0.5772997736930847
epoch: 38, best_acc: 78.59999976806641, loss: 0.566031277179718
epoch: 39, best_acc: 78.59999976806641, loss: 0.4422760009765625
epoch: 40, best_acc: 78.59999976806641, loss: 0.5625362992286682
epoch: 41, best_acc: 78.9999997680664, loss: 0.5229125022888184
epoch: 42, best_acc: 78.9999997680664, loss: 0.5762913227081299
epoch: 43, best_acc: 78.9999997680664, loss: 0.4463304877281189
epoch: 44, best_acc: 78.9999997680664, loss: 0.4520394206047058
epoch: 45, best_acc: 78.9999997680664, loss: 0.4418650269508362
epoch: 46, best_acc: 78.9999997680664, loss: 0.5281648635864258
epoch: 47, best_acc: 78.9999997680664, loss: 0.5135836601257324
epoch: 48, best_acc: 78.9999998413086, loss: 0.436850368976593
epoch: 49, best_acc: 78.9999998413086, loss: 0.3621804416179657
epoch: 50, best_acc: 78.9999998413086, loss: 0.4001885950565338
epoch: 51, best_acc: 79.5199998046875, loss: 0.4572157561779022
epoch: 52, best_acc: 79.5199998046875, loss: 0.5003966689109802
epoch: 53, best_acc: 79.72000004882813, loss: 0.5717545747756958
epoch: 54, best_acc: 79.72000004882813, loss: 0.4832059144973755
epoch: 55, best_acc: 79.72000004882813, loss: 0.4868195652961731
epoch: 56, best_acc: 79.72000004882813, loss: 0.557995617389679
epoch: 57, best_acc: 79.72000004882813, loss: 0.49277612566947937
epoch: 58, best_acc: 79.72000004882813, loss: 0.4903734624385834
epoch: 59, best_acc: 79.72000004882813, loss: 0.4986455738544464
epoch: 60, best_acc: 79.72000004882813, loss: 0.48411673307418823
epoch: 61, best_acc: 79.72000004882813, loss: 0.506135880947113
epoch: 62, best_acc: 79.72000004882813, loss: 0.5254004597663879
epoch: 63, best_acc: 79.72000004882813, loss: 0.5334841012954712
epoch: 64, best_acc: 79.72000004882813, loss: 0.4892885386943817
epoch: 65, best_acc: 79.72000004882813, loss: 0.5273552536964417
epoch: 66, best_acc: 79.72000004882813, loss: 0.4830753207206726
epoch: 67, best_acc: 79.7599998413086, loss: 0.5231971144676208
epoch: 68, best_acc: 79.7599998413086, loss: 0.547870934009552
epoch: 69, best_acc: 79.7599998413086, loss: 0.38156217336654663
epoch: 70, best_acc: 79.7599998413086, loss: 0.5212919116020203
epoch: 71, best_acc: 79.7599998413086, loss: 0.49448150396347046
epoch: 72, best_acc: 79.76000004882812, loss: 0.5628803968429565
epoch: 73, best_acc: 79.76000004882812, loss: 0.4860374331474304
epoch: 74, best_acc: 79.76000004882812, loss: 0.5676069259643555
epoch: 75, best_acc: 79.76000004882812, loss: 0.47878363728523254
epoch: 76, best_acc: 80.19999987792968, loss: 0.44199487566947937
epoch: 77, best_acc: 80.19999987792968, loss: 0.42404088377952576
epoch: 78, best_acc: 80.19999987792968, loss: 0.5078134536743164
epoch: 79, best_acc: 80.19999987792968, loss: 0.5223559737205505
epoch: 80, best_acc: 80.19999987792968, loss: 0.6017491817474365
epoch: 81, best_acc: 80.19999987792968, loss: 0.40232977271080017
