epoch: 0, best_acc: 11.708733974358974, loss: 3.620084524154663
epoch: 1, best_acc: 19.290865384615383, loss: 3.372248888015747
epoch: 2, best_acc: 26.26201923076923, loss: 2.9670028686523438
epoch: 3, best_acc: 32.19150641025641, loss: 2.6509127616882324
epoch: 4, best_acc: 33.483573717948715, loss: 2.5601065158843994
epoch: 5, best_acc: 37.22956730769231, loss: 2.463897466659546
epoch: 6, best_acc: 38.94230769230769, loss: 2.2161879539489746
epoch: 7, best_acc: 44.13060897435897, loss: 2.001932144165039
epoch: 8, best_acc: 44.13060897435897, loss: 2.1830646991729736
epoch: 9, best_acc: 47.27564102564103, loss: 1.6966644525527954
epoch: 10, best_acc: 51.03165064102564, loss: 1.6061005592346191
epoch: 11, best_acc: 51.662660256410255, loss: 1.6498998403549194
epoch: 12, best_acc: 52.28365384615385, loss: 1.5884625911712646
epoch: 13, best_acc: 52.71434294871795, loss: 1.5082660913467407
epoch: 14, best_acc: 56.32011217948718, loss: 1.3926488161087036
epoch: 15, best_acc: 56.32011217948718, loss: 1.3936359882354736
epoch: 16, best_acc: 56.32011217948718, loss: 1.4912474155426025
epoch: 17, best_acc: 57.47195512820513, loss: 1.392463207244873
epoch: 18, best_acc: 58.32331730769231, loss: 1.409080147743225
epoch: 19, best_acc: 58.32331730769231, loss: 1.376815915107727
epoch: 20, best_acc: 59.25480769230769, loss: 1.3438538312911987
epoch: 21, best_acc: 60.48677884615385, loss: 1.2897045612335205
epoch: 22, best_acc: 60.48677884615385, loss: 1.1732971668243408
epoch: 23, best_acc: 60.57692307692308, loss: 1.3288483619689941
epoch: 24, best_acc: 61.197916666666664, loss: 1.2288917303085327
epoch: 25, best_acc: 61.197916666666664, loss: 1.257004976272583
epoch: 26, best_acc: 62.9306891025641, loss: 1.133278727531433
epoch: 27, best_acc: 62.9306891025641, loss: 1.135589599609375
epoch: 28, best_acc: 62.9306891025641, loss: 1.1586940288543701
epoch: 29, best_acc: 62.9306891025641, loss: 1.1869803667068481
epoch: 30, best_acc: 62.9306891025641, loss: 1.086277961730957
epoch: 31, best_acc: 63.64182692307692, loss: 1.0853617191314697
epoch: 32, best_acc: 64.24278846153847, loss: 1.0991991758346558
epoch: 33, best_acc: 64.24278846153847, loss: 1.055111289024353
epoch: 34, best_acc: 64.39302884615384, loss: 1.1452995538711548
epoch: 35, best_acc: 65.61498397435898, loss: 1.0862230062484741
epoch: 36, best_acc: 65.61498397435898, loss: 1.0242629051208496
epoch: 37, best_acc: 65.61498397435898, loss: 1.1649428606033325
epoch: 38, best_acc: 65.61498397435898, loss: 1.0118815898895264
epoch: 39, best_acc: 65.61498397435898, loss: 1.1870102882385254
epoch: 40, best_acc: 65.61498397435898, loss: 1.1153597831726074
epoch: 41, best_acc: 65.61498397435898, loss: 1.1048574447631836
epoch: 42, best_acc: 65.61498397435898, loss: 1.0380803346633911
epoch: 43, best_acc: 66.3661858974359, loss: 1.1046700477600098
epoch: 44, best_acc: 66.93709935897436, loss: 1.1747578382492065
epoch: 45, best_acc: 66.93709935897436, loss: 0.9975917935371399
epoch: 46, best_acc: 66.93709935897436, loss: 1.1927154064178467
epoch: 47, best_acc: 66.93709935897436, loss: 1.0627095699310303
epoch: 48, best_acc: 66.93709935897436, loss: 1.030492901802063
epoch: 49, best_acc: 67.66826923076923, loss: 1.0800753831863403
epoch: 50, best_acc: 67.66826923076923, loss: 1.0903819799423218
epoch: 51, best_acc: 67.78846153846153, loss: 1.084385633468628
epoch: 52, best_acc: 68.2792467948718, loss: 1.1040778160095215
epoch: 53, best_acc: 68.2792467948718, loss: 1.000030517578125
epoch: 54, best_acc: 68.2792467948718, loss: 1.155309796333313
epoch: 55, best_acc: 68.2792467948718, loss: 1.0819005966186523
epoch: 56, best_acc: 68.2792467948718, loss: 1.1088249683380127
epoch: 57, best_acc: 68.45953525641026, loss: 0.9800230264663696
epoch: 58, best_acc: 68.45953525641026, loss: 1.0451834201812744
epoch: 59, best_acc: 68.45953525641026, loss: 1.0848069190979004
epoch: 60, best_acc: 68.45953525641026, loss: 1.009007215499878
epoch: 61, best_acc: 68.45953525641026, loss: 1.0392531156539917
epoch: 62, best_acc: 69.13060897435898, loss: 1.0304007530212402
epoch: 63, best_acc: 69.13060897435898, loss: 1.0636894702911377
epoch: 64, best_acc: 69.13060897435898, loss: 0.967095673084259
epoch: 65, best_acc: 69.13060897435898, loss: 0.9842886924743652
epoch: 66, best_acc: 69.13060897435898, loss: 0.968762218952179
epoch: 67, best_acc: 69.13060897435898, loss: 1.064948320388794
epoch: 68, best_acc: 69.13060897435898, loss: 0.8802555799484253
epoch: 69, best_acc: 69.13060897435898, loss: 0.9465140104293823
epoch: 70, best_acc: 69.13060897435898, loss: 0.93613201379776
epoch: 71, best_acc: 69.13060897435898, loss: 1.0011128187179565
epoch: 72, best_acc: 69.13060897435898, loss: 0.886825442314148
epoch: 73, best_acc: 69.13060897435898, loss: 1.1925690174102783
epoch: 74, best_acc: 69.13060897435898, loss: 1.0804260969161987
epoch: 75, best_acc: 69.50120192307692, loss: 1.031947374343872
epoch: 76, best_acc: 69.50120192307692, loss: 1.0600707530975342
epoch: 77, best_acc: 69.81169871794872, loss: 1.154456377029419
epoch: 78, best_acc: 70.01201923076923, loss: 0.8690245747566223
epoch: 79, best_acc: 70.01201923076923, loss: 0.9354357719421387
epoch: 80, best_acc: 70.01201923076923, loss: 0.9775930047035217
epoch: 81, best_acc: 70.01201923076923, loss: 0.9026666283607483
epoch: 82, best_acc: 70.01201923076923, loss: 1.0224215984344482
